host,measured_at_utc,axis,bias_rad_s,std_rad_s,current_offset_rad_s,delta_rad_s,status,samples,exit_code
a2,2026-09-14T13:08:55.447254+00:00,x,-0.016204205079051473,0.0021,0.0,-0.016204205079051473,OK,373,0
a2,2026-09-14T13:08:55.447254+00:00,y,0.0095719323692303,0.001969,0.0,0.0095719323692303,OK,373,0
a2,2026-09-14T13:08:55.447254+00:00,z,-0.0025196062803397416,0.001961,-0.0,-0.0025196062803397416,OK,373,0
a3,2026-09-14T13:09:35.357642+00:00,x,0.023205809859762307,0.001978,0.022117,0.001088809859762306,OK,373,0
a3,2026-09-14T13:09:35.357642+00:00,y,0.014434694290270764,0.00224,0.014236,0.00019869429027076328,OK,373,0
a3,2026-09-14T13:09:35.357642+00:00,z,-0.01318524925340729,0.002157,-0.01356,0.0003747507465927096,OK,373,0
a4,2026-09-14T13:09:51.066205+00:00,x,,,,,NO_DATA,0,3
a4,2026-09-14T13:09:51.066205+00:00,y,,,,,NO_DATA,0,3
a4,2026-09-14T13:09:51.066205+00:00,z,,,,,NO_DATA,0,3
a6,2026-09-14T13:10:13.627543+00:00,x,-0.02248143248256895,0.002047,0.0,-0.02248143248256895,OK,373,0
a6,2026-09-14T13:10:13.627543+00:00,y,0.006758002964480102,0.001997,0.0,0.006758002964480102,OK,373,0
a6,2026-09-14T13:10:13.627543+00:00,z,-0.004095521135167795,0.001972,-0.0,-0.004095521135167795,OK,373,0
a7,2026-09-14T13:10:29.607462+00:00,x,-0.01833461373636425,0.002231,0.0,-0.01833461373636425,OK,374,0
a7,2026-09-14T13:10:29.607462+00:00,y,-0.001045188372961597,0.002094,0.0,-0.001045188372961597,OK,374,0
a7,2026-09-14T13:10:29.607462+00:00,z,-0.006848940864930324,0.001922,-0.0,-0.006848940864930324,OK,374,0
